customer_id,first_name,last_name,email,city,state
2,Kasha,Todd,kasha.todd@yahoo.com,Campbell,CA
3,Tameka,Fisher,tameka.fisher@aol.com,"Redondo Beach",CA
5,Charolette,Rice,charolette.rice@msn.com,Sacramento,CA
24,Corene,Wall,corene.wall@msn.com,Atwater,CA
30,Jamaal,Albert,jamaal.albert@gmail.com,Torrance,CA
31,Williemae,Holloway,williemae.holloway@msn.com,Oakland,CA
32,Araceli,Golden,araceli.golden@msn.com,Fullerton,CA
33,Deloris,Burke,deloris.burke@hotmail.com,"Palos Verdes Peninsula",CA
40,Ronna,Butler,ronna.butler@gmail.com,Encino,CA
46,Monika,Berg,monika.berg@gmail.com,Encino,CA
47,Bridgette,Guerra,bridgette.guerra@hotmail.com,"San Lorenzo",CA
53,Saturnina,Garner,saturnina.garner@gmail.com,Glendora,CA
60,Neil,Mccall,neil.mccall@gmail.com,"San Carlos",CA
67,Tommie,Melton,tommie.melton@gmail.com,Sacramento,CA
69,Katelin,Kennedy,katelin.kennedy@gmail.com,Rocklin,CA
72,Petronila,Norris,petronila.norris@aol.com,"South El Monte",CA
78,Chi,Goff,chi.goff@aol.com,"Palos Verdes Peninsula",CA
81,Zina,Bonner,zina.bonner@hotmail.com,"San Lorenzo",CA
82,Lizzie,Joyner,lizzie.joyner@msn.com,Coachella,CA
87,Yan,Mcgowan,yan.mcgowan@msn.com,Duarte,CA
89,Arvilla,Osborn,arvilla.osborn@gmail.com,Upland,CA
91,Marvin,Mullins,marvin.mullins@aol.com,"San Diego",CA
97,Louanne,Martin,louanne.martin@hotmail.com,"Yuba City",CA
104,Katharina,Bates,katharina.bates@gmail.com,Campbell,CA
109,Monica,Sears,monica.sears@aol.com,"San Jose",CA
110,Ollie,Zimmerman,ollie.zimmerman@yahoo.com,Anaheim,CA
120,Luz,House,luz.house@gmail.com,Fresno,CA
121,Lucy,Woods,lucy.woods@gmail.com,"Palos Verdes Peninsula",CA
124,Jeni,Booker,jeni.booker@gmail.com,"South El Monte",CA
138,Jone,Bernard,jone.bernard@hotmail.com,Anaheim,CA
151,Joesph,Delacruz,joesph.delacruz@aol.com,Atwater,CA
157,Carola,Rodriquez,carola.rodriquez@hotmail.com,Banning,CA
165,Jeromy,Burch,jeromy.burch@msn.com,"San Jose",CA
169,Karla,Kirk,karla.kirk@yahoo.com,"Palos Verdes Peninsula",CA
170,Regine,Gonzales,regine.gonzales@gmail.com,Oxnard,CA
172,Jeanie,Kirkland,jeanie.kirkland@aol.com,"Santa Clara",CA
175,Nova,Hess,nova.hess@msn.com,Duarte,CA
176,Carley,Reynolds,carley.reynolds@gmail.com,"South El Monte",CA
181,Olevia,Pitts,olevia.pitts@gmail.com,"Redondo Beach",CA
187,Hedwig,Paul,hedwig.paul@msn.com,"Apple Valley",CA
188,Sharla,Flynn,sharla.flynn@hotmail.com,Oxnard,CA
191,Graciela,Barber,graciela.barber@hotmail.com,Oxnard,CA
192,Bong,Hebert,bong.hebert@gmail.com,Torrance,CA
194,Dorine,Roberson,dorine.roberson@msn.com,"Santa Cruz",CA
208,Denis,Logan,denis.logan@msn.com,Ridgecrest,CA
217,Carline,Collier,carline.collier@msn.com,Fresno,CA
224,Moses,Pope,moses.pope@yahoo.com,Lawndale,CA
231,Jenee,Rasmussen,jenee.rasmussen@hotmail.com,Sacramento,CA
233,Mariana,Strong,mariana.strong@msn.com,"Santa Clara",CA
237,Elvera,Peck,elvera.peck@yahoo.com,Banning,CA
239,Felice,Guzman,felice.guzman@hotmail.com,"Canyon Country",CA
240,Le,Deleon,le.deleon@msn.com,Banning,CA
242,Rutha,Howell,rutha.howell@gmail.com,"Canyon Country",CA
244,Jessika,Bray,jessika.bray@yahoo.com,"San Pablo",CA
245,Delila,Hamilton,delila.hamilton@yahoo.com,"Palos Verdes Peninsula",CA
247,Muriel,Juarez,muriel.juarez@gmail.com,"Palos Verdes Peninsula",CA
253,Maurice,Norton,maurice.norton@hotmail.com,Atwater,CA
254,Cristobal,Hutchinson,cristobal.hutchinson@gmail.com,Lawndale,CA
258,Maribel,William,maribel.william@aol.com,Torrance,CA
259,Johnathan,Velazquez,johnathan.velazquez@hotmail.com,Pleasanton,CA
